country,iso_code,year,external_debt_pct_gni,debt_service_pct_exports,gdp_growth_pct,reserves_months_imports,inflation_pct,score_debt_gni,score_debt_service,score_gdp_growth,score_reserves,score_inflation,indicators_available,debt_risk_score,trend_slope,years_used,risk_tier
Africa Eastern and Southern,AFE,2024,,,2.78793146807502,4.99436799210995,4.77085731915833,,,60.0270087778528,40.13157894736842,61.3263296126067,3,53.82830577927598,-1.8387908760433829,5.0,Elevated Risk
Africa Western and Central,AFW,2024,,,4.59618335068083,6.20720430490568,3.60804426950566,,,36.76569885212694,27.93859649122807,50.99584154081857,3,38.56671229472452,-5.910762606327981,5.0,Moderate Risk
Albania,ALB,2024,39.7190681766686,8.00915421288433,4.04592845095348,6.04107418472307,2.21587375089991,45.95490716180372,37.80744905130007,43.7542201215395,29.10087719298245,32.98314729700153,5,37.92012016492545,-2.106327733969835,5.0,Moderate Risk
Algeria,DZA,2024,2.66774817396092,0.797700031642401,3.69999999907979,16.5279389774712,4.04611455313434,0.629973474801061,2.52986647926915,48.548278190411885,4.035087719298247,55.24184723134165,5,22.1970106190244,0.8137114850015265,5.0,Low Risk
Angola,AGO,2024,79.5726391511001,28.9122414363047,4.95267860425956,5.51374910579312,28.2404948915772,83.09018567639257,88.65073787772312,32.883187035786634,33.55263157894737,97.24228496388706,5,67.08380542654734,-3.0325515011237574,5.0,Elevated Risk
Antigua and Barbuda,ATG,2024,,,2.54044193946544,3.01914606288012,6.19886698842115,,,62.76164753544902,67.25877192982456,70.62814620267017,3,66.88285522264792,4.401368283117184,5.0,Elevated Risk
Argentina,ARG,2024,39.0583452380588,38.2533536654791,-1.34293072157739,3.55326074207238,219.883929014578,44.96021220159151,94.76458186929024,89.44969615124916,59.51754385964912,99.80302035456336,5,77.69901088726867,-0.5182228808158807,5.0,High Risk
Armenia,ARM,2024,65.9870950657396,9.17206815657839,5.90000000046228,2.06051540228788,0.269511978259125,73.1763925729443,43.218552354181305,23.70020256583389,79.86842105263158,9.082950317356095,5,45.80930377258943,-6.025312006792597,5.0,Moderate Risk
Australia,AUS,2024,,,1.37340773365975,1.35482594944319,3.16656665428797,,,75.11816340310601,88.15789473684211,45.69927774130007,3,69.65844529374941,0.6845376350947694,5.0,Elevated Risk
Austria,AUT,2024,,,-0.659089573171372,1.25562529994616,2.93791574279375,,,87.32275489534099,89.23245614035088,43.20420223243598,3,73.25313775604262,4.087626675826454,5.0,Elevated Risk
